Puesto,Url,Título,Autor,Materias,Editorial,Traductor,Colección,Encuadernación,País de publicación ,Idioma de publicación ,Idioma original ,ISBN,EAN,Dimensiones,Peso,Nº páginas,Fecha publicación ,Ilustrador
55,https://www.todostuslibros.com/libros/hazlo-tu-mismo-con-maestros-de-la-costura_978-84-670-6090-4,Hazlo tú mismo con Maestros de la costura,Shine / RTVE,"ESTILO DE VIDA, DEPORTE Y OCIO",Espasa,,F. COLECCION, Tapa blanda o Bolsillo,España,Español,Español, 978-84-670-6090-4,9788467060904, 235 x 225 mm.,646 gramos,176,20-01-2021,
37,https://www.todostuslibros.com/libros/es-la-microbiota-idiota_978-84-1344-068-2,"¡Es la microbiota, idiota!","Arponen, Sari",Familia y Salud,Alienta Editorial,,Sin colección, Tapa blanda o Bolsillo,España,Español,Español, 978-84-1344-068-2,9788413440682, 213 x 135 mm.,338 gramos,368,03-03-2021,
8,https://www.todostuslibros.com/libros/trolardy-y-el-pan-dorado_978-84-270-4806-5,Trolardy y el pan dorado,Trolerotutos y Hardy,Edad de interés: a partir de 9 años,Ediciones Martínez Roca,,4You2, Tapa blanda o Bolsillo,España,Español,Español, 978-84-270-4806-5,9788427048065, 230 x 150 mm.,218 gramos,192,24-03-2021,
97,https://www.todostuslibros.com/libros/las-tinieblas-y-el-alba-la-precuela-de-los-pilares-de-la-tierra_978-84-01-02287-6,Las tinieblas y el alba (La precuela de Los pilares de la Tierra),"Follett, Ken",Ficción moderna y contemporanea,PLAZA & JANES,"Verónica Canales Medina, Laura Rins Calahorra, Laura Martín De Dios,",EXITOS, Cartoné,España,Español,Inglés, 978-84-01-02287-6,9788401022876, 237 x 164 mm.,985 gramos,936,15-09-2020,
18,https://www.todostuslibros.com/libros/dime-que-comes-y-te-dire-que-bacterias-tienes_978-84-17752-92-7,Dime qué comes y te diré qué bacterias tienes,"García-Orea Haro (@blancanutri), Blanca","Terapias complementarias, curación y salud",GRIJALBO ILUSTRADOS,,VIVIR MEJOR, Tapa blanda o Bolsillo,España,Español,Español, 978-84-17752-92-7,9788417752927, 209 x 174 mm.,,272,08-10-2020,
56,https://www.todostuslibros.com/libros/madrid_978-84-233-5819-9,Madrid,"Trapiello, Andrés",Biografía: literaria,Ediciones Destino,,Imago Mundi, Cartoné,España,Español,Español, 978-84-233-5819-9,9788423358199, 227 x 160 mm.,1057 gramos,560,15-10-2020,
38,https://www.todostuslibros.com/libros/etica-cosmopolita_978-84-493-3795-6,Ética cosmopolita,"Cortina Orts, Adela",Filosofía,Ediciones Paidós,,Estado y Sociedad, Tapa blanda o Bolsillo,España,Español,Español, 978-84-493-3795-6,9788449337956, 233 x 155 mm.,372 gramos,208,24-03-2021,
30,https://www.todostuslibros.com/libros/loba-negra_978-84-666-6649-7,Loba negra,"Gómez-Jurado, Juan",Obra de misterio y suspense,B (Ediciones B),,EDICIONES B, Cartoné,España,Español,Español, 978-84-666-6649-7,9788466666497, 239 x 163 mm.,800 gramos,552,24-10-2019,
98,https://www.todostuslibros.com/libros/vivir-no-es-tan-divertido-y-envejecer-un-conazo_978-84-339-9920-7,"Vivir no es tan divertido, y envejecer, un coñazo","Tusquets Blanca, Oscar",Ensayos literarios,Editorial Anagrama,,Narrativas hispánicas, Tapa blanda o Bolsillo,España,Español,Español, 978-84-339-9920-7,9788433999207, 22 x 14 mm.,248 gramos,200,17-03-2021,
39,https://www.todostuslibros.com/libros/la-vida-contada-por-un-sapiens-a-un-neandertal_978-84-204-3965-5,La vida contada por un sapiens a un neandertal,"Millás, Juan José / Arsuaga, Juan Luis",Antropología,ALFAGUARA,,Hispánica, Tapa blanda o Bolsillo,España,Español,Español, 978-84-204-3965-5,9788420439655, 240 x 154 mm.,120 gramos,224,23-09-2020,
99,https://www.todostuslibros.com/libros/sombra-y-hueso_978-84-18002-49-6,Sombra y hueso,"Bardugo, Leigh",Fantasía y realismo mágico (infantil/juvenil),Editorial Hidra,"Loscertales, Carlos",Trilogía Sombra y hueso, Libro,España,Español,Inglés, 978-84-18002-49-6,9788418002496, 220 x 150 mm.,,416,11-11-2019,
57,https://www.todostuslibros.com/libros/los-forasteros-del-tiempo-11-la-aventura-de-los-balbuena-con-los-vikingos_978-84-1392-031-3,Los Forasteros del Tiempo 11: La aventura de los Balbuena con los vikingos,"Santiago, Roberto / Ferna´ndez Va´zquez, Pablo",Edad de interés: a partir de 10 años,EDICIONES SM,,Los Forasteros del Tiempo, Tapa blanda o Bolsillo,España,Español,Español, 978-84-1392-031-3,9788413920313, 215 x 150 mm.,630 gramos,320,18-03-2021,"Esteban Bustos, Guillermo"
19,https://www.todostuslibros.com/libros/un-amor_978-84-339-9903-0,Un amor,"Mesa, Sara",Obra de misterio y suspense,Editorial Anagrama,,Narrativas hispánicas, Tapa blanda o Bolsillo,España,Español,Español, 978-84-339-9903-0,9788433999030, 22 x 14 mm.,268 gramos,192,02-09-2020,
40,https://www.todostuslibros.com/libros/etica-para-inversores_978-84-9066-944-0,Ética para inversores,"Márkaris, Petros",Género policíaco y misterio,Tusquets Editores,"Samará Spiliotopulu, Ersi Marina",ANDANZAS, Tapa blanda o Bolsillo,España,Español,Griego moderno (1453-), 978-84-9066-944-0,9788490669440, 225 x 148 mm.,440 gramos,304,31-03-2021,
58,https://www.todostuslibros.com/libros/un-instante-eterno_978-84-18436-63-5,Un instante eterno,"Bruckner, Pascal",Filosofía social y política,Siruela,"Talens, Jenaro",Biblioteca de Ensayo / Serie mayor, Tapa blanda o Bolsillo,España,Español,Francés, 978-84-18436-63-5,9788418436635, 240 x 160 mm.,368 gramos,204,25-03-2021,
100,https://www.todostuslibros.com/libros/nada_978-84-233-5698-0,Nada,"Laforet, Carmen",Ficción moderna y contemporanea,Austral,,Narrativa, Tapa blanda o Bolsillo,España,Español,Español, 978-84-233-5698-0,9788423356980, 190 x 125 mm.,240 gramos,368,28-01-2020,
9,https://www.todostuslibros.com/libros/delparaiso_978-84-670-6113-0,Delparaíso,"Val, Juan del",Ficción moderna y contemporanea,Espasa,,ESPASA NARRATIVA, Tapa blanda o Bolsillo,España,Español,Español, 978-84-670-6113-0,9788467061130, 230 x 150 mm.,526 gramos,312,07-01-2021,
59,https://www.todostuslibros.com/libros/todo-lo-que-nunca-fuimos_978-84-08-23811-9,Todo lo que nunca fuimos,"Kellen, Alice",Narrativa romántica adulta y contemporánea,Booket,,Especial Enero Febrero 2021, Tapa blanda o Bolsillo,España,Español,Español, 978-84-08-23811-9,9788408238119, 190 x 125 mm.,256 gramos,352,03-02-2021,
10,https://www.todostuslibros.com/libros/aquitania_978-84-08-23551-4,Aquitania,"García Sáenz de Urturi, Eva",Obra de misterio y suspense,Editorial Planeta,,Autores Españoles e Iberoamericanos, Cartoné,España,Español,Español, 978-84-08-23551-4,9788408235514, 230 x 150 mm.,612 gramos,416,05-11-2020,
60,https://www.todostuslibros.com/libros/mirabella-y-la-escuela-de-magia-mirabella-2_978-84-204-4086-6,Mirabella y la escuela de magia (Mirabella 2),"Muncaster, Harriet",Relatos sobre la familia y el hogar (infantil/juvenil),ALFAGUARA,Vanesa Pérez-Sauquillo Muñoz;,Mirabella, Cartoné,España,Español,Inglés, 978-84-204-4086-6,9788420440866, 209 x 147 mm.,,160,18-03-2021,
20,https://www.todostuslibros.com/libros/my-hero-academia-no-26_978-84-1341-584-0,My Hero Academia nº 26,"Horikoshi, Kohei",Cómics y novelas gráficas,Planeta Cómic,"Koike, Ayako",MANGA SHONEN, Tapa blanda o Bolsillo,España,Español,Japonés, 978-84-1341-584-0,9788413415840, 177 x 111 mm.,216 gramos,200,24-03-2021,
